,Episode,Description,Link
10,Books I’ve Loved — Whitney Cummings (#454),"Whitney Cummings (@whitneycummings) is a Los Angeles-based comedian, actor, writer, and producer. She has appeared in multiple television shows and films, and has performed in stand-up specials for both HBO and Comedy Central, one of which was nominated for an American Comedy Award. You can subscribe to her podcast, Good For You, on Apple Podcasts, Spotify, YouTube, or wherever you get your podcasts. Whitney is also the author of I’m Fine…And Other Lies, and her most recent comedy special, Can I Touch It?, is now available for streaming on Netflix. For more Whitney, check out our conversation from 2015. ",https://tim.blog/2020/08/21/whitney-cummings-book-recommendations/
11,"The Random Show — Zen, Investing, Mike Tyson, Artificial Intelligence, and the World’s Best Beers (#453)","Technologist, serial entrepreneur, world-class investor, self-experimenter, and all-around wild and crazy guy Kevin Rose (@KevinRose) rejoins me for another episode of “The Random Show.” In this one, we wax poetic over wildlife friends and foes, the folly of facing off against Mike Tyson (even in his 50s), slow donkeys, universal basic income (UBI), breaking the pandemic pajama routine, smoked meats and Wi-Fi grills, Zen and the art of Kevin maintenance, how to hike without being hunted, hoity-toity beer, pandemic investing, and much more.",https://tim.blog/2020/08/20/the-random-show-zen-investing-and-more/
12,"Sia — The Alchemy of Blockbuster Songs, Billions of Views, and the Face You’ve Never Seen (#452)","Sia (@sia) is an Australian singer, songwriter, director, screenwriter, and pop icon. Her current single, “Together,” is from her forthcoming album and motion picture, Music, due out later this year. In 2019, Sia partnered with Diplo and Labrinth to form the group LSD. Their debut album, Labrinth, Sia & Diplo Present… LSD has one billion+ streams to date. She released the Grammy-nominated This Is Acting (Monkey Puzzle/RCA Records) in 2016 to much critical acclaim and cemented her role as one of today’s biggest stars and sought-after live performers with her sold-out Nostalgic for the Present headline tour. ",https://tim.blog/2020/08/12/sia/
13,"Mike Novogratz on Investing, Bitcoin, Ayahuasca, and Running Through The Sahara Desert (#451)","Michael Novogratz (@novogratz) is the founder and CEO of Galaxy Digital. He was formerly a partner and president of Fortress Investment Group, LLC. Prior to Fortress, Michael spent 11 years at Goldman Sachs, where he was elected partner in 1998. Michael served on the Federal Reserve Bank of New York’s Investor Advisory Committee on Financial Markets from 2012–2015. Michael serves as the chairman of The Bail Project and has made criminal justice reform a focus of his family’s foundation. He also serves as the chairman of Hudson River Park Friends and sits on the boards of NYU Langone Medical Center, Princeton Varsity Club, Jazz Foundation of America, and Artists for Peace and Justice. Michael received an AB in Economics from Princeton University and served as a helicopter pilot in the US Army.",https://tim.blog/2020/08/05/mike-novogratz/
14,Books I’ve Loved — Neil Strauss (#450),"Neil Strauss (@neilstrauss) is a ten-time New York Times best-selling author, award-winning writer for Rolling Stone, and former reporter at the New York Times. Strauss has also contributed to Esquire, Salon, Spin, Entertainment Weekly, Details, The Source, New York Newsday, and many other magazines and newspapers. He has interviewed some of the biggest icons in the world of entertainment and beyond, including the legendary Chuck Berry, Tom Cruise, Madonna, and Elon Musk. He received the President’s Volunteer Service Award for work during his book Emergency.",https://tim.blog/2020/07/31/neil-strauss-book-recommendations/
15,Grandmaster Maurice Ashley — The Path and Strategies of World-Class Mastery (#449),"Maurice Ashley (@MauriceAshley) made history in 1999 when he became the first African-American chess grandmaster. He is a three-time national championship coach, author of Chess for Success: Using an Old Game to Build New Strengths in Children and Teens, ESPN commentator, iPhone app designer, puzzle inventor, and motivational speaker. Maurice is well known for providing dynamic live tournament coverage of world-class chess competitions and matches. His high-energy, unapologetic, and irreverent commentary combines Brooklyn street smarts with professional ESPN-style sports analysis. He has covered every class of elite event, including the World Chess Championships, the US Chess Championships, the Grand Chess Tour, and the legendary “man vs. machine” matches between Garry Kasparov and IBM’s Deep Blue. Traveling the world as an ardent spokesperson for the many character-building effects of chess, Maurice consults with universities, schools, chess clubs, executives, and celebrities on how chess principles and strategies can be applied to improve business practices and assist with personal growth. Maurice also acts as a master of ceremonies and inspirational speaker at business conferences and high-class chess events. Maurice has received multiple community service awards from city governments, universities, and community groups for his work. In recognition of his immense contribution to the game, he was inducted into the US Chess Hall of Fame in 2016 and the Brooklyn Technical High School Hall of Fame in 2018.",https://tim.blog/2020/07/28/maurice-ashley/
16,"Brad Feld — The Art of Unplugging, Carving Your Own Path, and Riding the Entrepreneurial Rollercoaster (#448)","Brad Feld (@bfeld) is the author of two new books: The Startup Community Way and the second edition of Startup Communities. He has been an early-stage investor and entrepreneur since 1987. Prior to co-founding Foundry Group, he co-founded Mobius Venture Capital and, prior to that, founded Intensity Ventures. Brad is also a co-founder of Techstars. Brad is a writer and speaker on the topics of venture capital investing and entrepreneurship. He’s written a number of books as part of the Startup Revolution series and writes the blogs Feld Thoughts and Venture Deals. ",https://tim.blog/2020/07/23/brad-feld/
17,Books I’ve Loved — Ann Miura-Ko (#447),"Ann Miura-Ko (@annimaniac) has been called “the most powerful woman in startups” by Forbes and is a lecturer in entrepreneurship at Stanford. The child of a rocket scientist at NASA, Ann is a Palo Alto native and has been steeped in technology startups from when she was a teenager. Prior to co-founding Floodgate, she worked at Charles River Ventures and McKinsey and Company. Some of Ann’s investments include Lyft, Ayasdi, Xamarin, Refinery29, JoyRun, TaskRabbit, and Modcloth.",https://tim.blog/2020/07/17/ann-miura-ko-book-recommendations/
18,"Blake Mycoskie — TOMS, The Hoffman Process, Conscious Uncoupling, and Psychedelics (#446)","Blake Mycoskie (@BlakeMycoskie) is a serial entrepreneur, philanthropist, and best-selling author, most known for founding TOMS Shoes. He is also the person behind the idea of One for One®, a business model that helps a person in need with every product purchased. Since its inception, TOMS Shoes has provided almost 96 million pairs of shoes to children around the globe.",https://tim.blog/2020/07/16/blake-mycoskie-2/
19,"Janna Levin on Extra Dimensions, Time Travel, and How to Overcome Boots in the Face (#445)","Janna Levin (@jannalevin) is the Tow Professor of Physics and Astronomy at Barnard College of Columbia University. She has contributed to an understanding of black holes, the cosmology of extra dimensions, and gravitational waves in the shape of spacetime. Janna is also director of sciences at Pioneer Works, a cultural center dedicated to experimentation, education, and production across disciplines, as well as Pioneer Works’ virtual home, The Broadcast.",https://tim.blog/2020/07/08/janna-levin/
20,"Hugh Jackman on Best Decisions, Daily Routines, The 85% Rule, Favorite Exercises, Mind Training, and Much More (#444)","“Everyone takes a shower every day, and we don’t complain about it. We do it out of discipline. There will always be an excuse not to meditate.”  — Hugh Jackman Hugh Jackman (@TheHughJackman) is an Academy Award®-nominated, Golden Globe- and Tony Award-winning performer, who has made an impression on audiences of all ages with his multi-hyphenate career persona, as successful onstage in front of live crowds as he is on film.",https://tim.blog/2020/06/26/hugh-jackman/
21,"David Yarrow on Art, Markets, Business, and Combining It All (#443)","In his genre, David Yarrow (@davidyarrow) is one of the world’s best-selling fine art photographers. Most recently, he has focused on capturing the animal and human worlds in fresh and creative ways, with philanthropy and conservation central to this drive. In 2019, charitable donations from the sale of David’s images exceeded $2.5 million.",https://tim.blog/2020/06/25/david-yarrow/
22,"Tribe of Mentors — Naval Ravikant, Susan Cain, and Yuval Noah Harari (#442)","""I actually think happiness is the absence of suffering. It comes from peace. That comes from being careful about desire, judgment, and reaction."" - Naval Ravikant When a guest is nominated for “Podcast of the Year,” that’s a good reason to bring them back for more. That’s why Naval Ravikant (@naval)…",https://tim.blog/2020/06/22/tribe-of-mentors-audiobook/
23,John Paul DeJoria — From Homelessness to Building Paul Mitchell and Patrón Tequila (#441),"""My life is better when I'm spontaneous after I've done my most important thing. Being spontaneous before that, that's where it becomes a distraction and does me harm."" — Gary Keller Gary Keller (@garykeller) is the co-founder, chairman, and CEO of Keller Williams (KW), the world's largest real estate franchise by agent…",https://tim.blog/2020/06/17/john-paul-dejoria/
24,Rick Doblin — The Psychedelic Domino That Tips All Others (#440),"Rick Doblin, PhD, (@rickdoblin) is the founder and executive director of the Multidisciplinary Association for Psychedelic Studies (MAPS). He received his doctorate in public policy from Harvard’s Kennedy School of Government, where he wrote his dissertation on the regulation of the medical uses of psychedelics and marijuana and his master’s thesis on a survey of oncologists about smoked marijuana vs. the oral THC pill in nausea control for cancer patients. Rick was also one of the early students under the legendary Dr. Stanislav Grof.",https://tim.blog/2020/06/11/rick-doblin/
25,"Tools of Titans — Derek Sivers, BJ Miller, and Christopher Sommer (#439)","Photo by Ernesto Urdaneta ""Maybe you don't feel that enough people love you, but I can tell you, there's a world of people out there who need you at this moment.""— Esther Perel Psychotherapist and New York Times bestselling author Esther Perel (@EstherPerelOfficial) is recognized as one of today's most…",https://tim.blog/2020/06/10/tools-of-titans-audiobook/
26,"Coach George Raveling on This Unique Moment in Time, How to Practice Self-Leadership, Navigating Difficult Conversations, and Much More (#438)","Coach George Raveling (@GeorgeRaveling) is an 82-year-old living legend and Nike’s former Director of International Basketball. Coach Raveling was the first African-American head basketball coach in the PAC-8 (now PAC-12). On August 28, 1963, at age 26, while volunteering as security at the March on Washington, Raveling would humbly become the guardian of what we have come to know as Dr. Martin Luther King Jr.’s “I Have a Dream” speech.",https://tim.blog/2020/06/08/coach-george-raveling/
27,"Secretary Madeleine Albright — Optimism, the Future of the US, and 450-Pound Leg Presses (#437)","Madeleine K. Albright (@madeleine) is a professor, author, diplomat, and businesswoman who served as the 64th secretary of state of the United States. In 1997, she was named the first female secretary of state and became, at that time, the highest-ranking woman in the history of the US government. From 1993 to 1997, Dr. Albright served as the US permanent representative to the United Nations and was a member of the president’s cabinet. She is a professor in the practice of diplomacy at the Georgetown University School of Foreign Service. Dr. Albright is chair of Albright Stonebridge Group, a global strategy firm, and chair of Albright Capital Management, LLC, an investment advisory firm focused on emerging markets.",https://tim.blog/2020/05/27/secretary-madeleine-albright/
28,Books I’ve Loved — Maria Popova and Tyler Cowen (#436),"Maria Popova (@brainpicker) is a reader and a writer who writes about what she reads on Brain Pickings, which is included in the Library of Congress permanent web archive of culturally valuable materials. She is the author of Figuring, the editor of A Velocity of Being: Letters to a Young Reader, and the creator and host of The Universe in Verse, an annual charitable celebration of science through poetry at the interdisciplinary cultural center Pioneer Works in Brooklyn.",https://tim.blog/2020/05/25/maria-popova-tyler-cowen-book-recommendations/
29,Kevin Hart — The Unstoppable Combination of Positivity and Relentless Improvement (#435),"Kevin Hart (@kevinhart4real) was born and raised in Philadelphia, Pennsylvania, where he launched his career as a comedian during an amateur night at a local comedy club. Over the years, Kevin has become one of Hollywood’s box office powerhouses, opening ten films as the number-one movie on opening weekend. Kevin’s memoir, I Can’t Make This Up, debuted at number one on The New York Times Best-Seller List and remained in the top 10 of the Print Hardcover Best-Seller List for ten weeks straight. The Decision: Overcoming Today’s BS for Tomorrow’s Success—an Audible Original launching May 21st and a follow-up to his memoir—helps people get mentally fit using the same tools and rules he’s developed to elevate his own life. ",https://tim.blog/2020/05/20/kevin-hart/
30,"Jim Dethmer — How to Shift from Victim Consciousness, Reduce Drama, Practice Candor, Be Fully Alive, and More (#434)","""You are not alone. And just because you feel like shit doesn't mean you are shit."" — Jerry Colonna Jerry Colonna (@jerrycolonna) is the CEO and cofounder of Reboot.io, an executive coaching and leadership development firm dedicated to the notion that better humans make better leaders. Prior to his career…",https://tim.blog/2020/05/18/jim-dethmer/
31,"Sam Harris on Psychedelics, How to Cope During a Pandemic, Taming Anxiety, and More (#433)","Sam Harris (@SamHarrisOrg) is a neuroscientist, philosopher, and author of five New York Times bestsellers. His work covers a wide range of topics—neuroscience, moral philosophy, religion, meditation practice, human violence, rationality—but generally focuses on how a growing understanding of ourselves and the world is changing our sense of how we should live. His books include The End of Faith, Letter to a Christian Nation, The Moral Landscape, Free Will, Lying, Waking Up, and Islam and the Future of Tolerance (with Maajid Nawaz).",https://tim.blog/2020/05/15/sam-harris-2/
32,Books I’ve Loved — Kevin Kelly (#432),"Kevin Kelly (@kevin2kelly) might be the real-life most interesting man in the world. Kevin is Senior Maverick at Wired magazine. He co-founded Wired in 1993, and served as its executive editor for its first seven years. His most recent book is The Inevitable, which is a New York Times and Wall Street Journal bestseller. His other books include the best-selling New Rules for the New Economy, the classic Out of Control, and his summary theory of technology in What Technology Wants. From 1984–1990 Kelly was publisher and editor of the Whole Earth Catalog. He co-founded the Hackers’ Conference, and was involved with the launch of the WELL, a pioneering online service started in 1985. He also founded the popular Cool Tools website in 2003.",https://tim.blog/2020/05/13/kevin-kelly-book-recommendations/
33,"Howard Marks on the US Dollar, Three Ways to Add Defense, and Good Questions (#431)","Howard Marks (@HowardMarksBook) is co-chairman and co-founder of Oaktree Capital Management, a leading investment firm with more than $125 billion in assets under management. He is the author of the books Mastering the Market Cycle: Getting the Odds on Your Side and The Most Important Thing: Uncommon Sense for the Thoughtful Investor, both critically acclaimed bestsellers.",https://tim.blog/2020/05/11/howard-marks-2/
34,"Elizabeth Gilbert’s Creative Path: Saying No, Trusting Your Intuition, Index Cards, Integrity Checks, Grief, Awe, and Much More (#430)","“We live in a culture that says you should be able to power through anything. Life will very generously remind you that you cannot, and it will very generously break you at times and very generously show you.”  — Elizabeth GilbertElizabeth Gilbert (@GilbertLiz) is the #1 New York Times bestselling author of Big Magic and Eat, Pray, Love, as well as several other internationally bestselling books. She has been a finalist for the National Book Award, the National Book Critics Circle Award, and the PEN/Hemingway Award. Her latest novel, City of Girls, was named an instant New York Times Best Seller and is a rollicking, sexy tale of the New York City theater world during the 1940s.",https://tim.blog/2020/05/08/elizabeth-gilbert/
35,"Nick Kokonas on Resurrecting Restaurants, Skin in the Game, and Investing (#429)","""I just look at some things and go, 'Why is that? Why does it work that way?' Oftentimes, the people most entrenched in a system have no idea why."" — Nick Kokonas Nick Kokonas (IG: @nkokonas, TW: @NickKokonas) is the co-owner and co-founder of The Alinea Group of restaurants, which…",https://tim.blog/2020/05/06/nick-kokonas-2/
36,"Jim Jefferies on Comedy, Life Lessons, and the Magic of Filling Out Customs Forms (#428)","Sydney native Jim Jefferies (@jimjefferies) is one of the most popular and respected comedians of his generation, entertaining audiences across the globe with his provocative, belief-challenging, and thought-provoking comedy. He created and starred in the sitcom Legit and the Comedy Central late-night show The Jim Jefferies Show. Jim was honored as Stand-Up Comedian of the Year at the Just for Laughs Festival in summer 2019. At the end of 2019, he embarked on his new tour Oblivious, performing all around Europe and North America. He is currently working with NBC on a multi-camera pilot that he will star in from writer-producer Suzanne Martin, Sean Hayes and Todd Milliner’s Hazy Mills Productions, and Universal TV.",https://tim.blog/2020/05/04/jim-jefferies/
37,Michael Lewis — Inside the Mind of the Iconic Writer (#427),"""A lot of growing up is learning to shift the responsibility from the other to the self.""- Brian Koppelman Brian Koppelman (@briankoppelman) is a screenwriter, novelist, director, producer, and host of The Moment podcast. Prior to his hit show Billions, which he co-created and executive produced (and co-wrote on spec),…",https://tim.blog/2020/05/01/michael-lewis/
38,The Random Show: Boozy Quarantine Edition! (#426),"Technologist, serial entrepreneur, world-class investor, self-experimenter, and all-around wild and crazy guy Kevin Rose (@KevinRose) rejoins me for another episode of “The Random Show.” In this one we explore fine (and not-so-fine) wines, dog adoption, great fiction and non-fiction reads, anniversary celebration during quarantine, exotic meats and decadent desserts, skiing accidents, and much more.",https://tim.blog/2020/04/29/random-show-boozy-quarantine-edition/
39,Books I’ve Loved — Cindy Eckert and Alexis Ohanian (#425),"Cindy Eckert (@cindypinkceo) is a billion-dollar dealmaker, self-made entrepreneur, and tireless force of nature if you’re asking Fortune magazine. Prior to forming The Pink Ceiling (affectionately known as the Pinkbuator) to fund and foster female-led disruption in healthcare, Cindy built two pharmaceutical companies from scratch. As Founder and CEO of Sprout Pharmaceuticals, she created a new category of sexual wellness for women by taking on the FDA and winning the approval of the first and only pill for women’s libido, Addyi. Cindy sold that company for $1B and now invests in game-changing ideas that support her mission to put women on top.",https://tim.blog/2020/04/27/books-ive-loved-cindy-eckert-alexis-ohanian/
40,"Brian Koppelman on Making Art, Francis Ford Coppola, Building Momentum, and More (#424)","Brian Koppelman (@briankoppelman) is a screenwriter, novelist, director, producer, and host of The Moment podcast. Prior to his hit show Billions, which he co-created and executive produced (and co-wrote on spec), he was best known as the co-writer of Rounders and Ocean’s Thirteen, as well as a producer of The Illusionist and The Lucky Ones. He has also directed films, such as Solitary Man, starring Michael Douglas.",https://tim.blog/2020/04/23/brian-koppelman/
41,"Rana el Kaliouby — AI, Emotional Intelligence, and the Journey of Finding Oneself (#423)","A pioneer in Emotion AI, Rana el Kaliouby, PhD (@Kaliouby), is co-founder and CEO of Affectiva, and author of the new book Girl Decoded: A Scientist’s Quest to Reclaim Our Humanity by Bringing Emotional Intelligence to Technology.",https://tim.blog/2020/04/21/rana-el-kaliouby/
42,"Dr. Jane Goodall — The Legend, The Lessons, The Hope (#421)","Dr. Jane Goodall (@JaneGoodallInst) was born on April 3rd, 1934, in London, England. At the young age of 26, she followed her passion for animals and Africa to Gombe, Tanzania, where she began her landmark study of chimpanzees in the wild,­ immersing herself in their habitat as a neighbor rather than a distant observer. Her discovery in 1960 that chimpanzees make and use tools rocked the scientific world and redefined the relationship between humans and animals.",https://tim.blog/2020/04/16/jane-goodall/
43,Books I’ve Loved — Matt Mullenweg (#420),"Matt Mullenweg (@photomatt) is the founding developer of WordPress, the open-source software used by over 35% of the web. Matt is also the CEO of Automattic, which is now the force behind WordPress.com, Jetpack, and many other products.",https://tim.blog/2020/04/13/matt-mullenweg-book-recommendations/
44,Ryan Holiday — How to Use Stoicism to Choose Alive Time Over Dead Time (#419),"Ryan Holiday (@RyanHoliday) is one of the world’s foremost thinkers and writers on ancient philosophy and its place in modern life. He is a sought-after speaker and strategist and the author of many bestselling books, including The Obstacle Is the Way, Ego Is the Enemy, and The Daily Stoic. His books have been translated into more than 30 languages and have sold more than two million copies worldwide. He lives with his family outside of Austin, Texas. You can subscribe to receive his writing at RyanHoliday.net and DailyStoic.com. Ryan was also the fourth-ever guest on the podcast in the very beginning, and he has written multiple popular guest posts for my blog, which you can find at tim.blog.",https://tim.blog/2020/04/09/ryan-holiday-stoicism/
45,Esther Perel — Tactics for Relationships in Quarantine (#418),"Psychotherapist and New York Times bestselling author Esther Perel (@EstherPerelOfficial) is recognized as one of today’s most insightful and original voices on modern relationships. Fluent in nine languages, she helms a therapy practice in New York City and serves as an organizational consultant for Fortune 500 companies around the world. Esther is an acclaimed TED speaker and the host of the hit podcasts Where Should We Begin? and How’s Work?.",https://tim.blog/2020/04/02/esther-perel-relationships-in-quarantine/
46,"Dr. Vivek Murthy — Former Surgeon General on Combating COVID-19, Loneliness, and More (#417)","Dr. Vivek H. Murthy (@vivek_murthy, vivekmurthy.com) served as the 19th Surgeon General of the United States between 2014 and 2017. As the Vice Admiral of the US Public Health Service Commissioned Corps, he commanded a uniformed service of 6,600 public health officers globally. During his tenure, Dr. Murthy launched the Turn the Tide campaign, catalyzing a movement among health professionals to address the nation’s opioid crisis. He also issued the first Surgeon General’s Report on Alcohol, Drugs, and Health, calling for expanded access to prevention and treatment and for addiction to be recognized as a chronic illness, not a character flaw.",https://tim.blog/2020/03/26/vivek-murthy/
47,"How to Support Healthcare Workers Now — Plus Urgent Suggestions for Uber Eats, Hilton, Amazon, and More (#416)","""Hope is not a strategy.""— James Cameron A prescient article titled “Body Count” by Epsilon Theory/Ben Hunt (@epsilontheory) was recently sent to me by one of my smartest and most connected friends.  It paints a spooky picture of the Chinese reports of what has been informally referred to as “Wuhan…",https://tim.blog/2020/03/21/how-to-support-healthcare-workers-now/
48,Lori Gottlieb — The Power of Getting to *Unknow* Yourself (#415),"Lori Gottlieb (@LoriGottlieb1) is a psychotherapist and author of the New York Times bestseller Maybe You Should Talk to Someone, which is being adapted as a television series by Eva Longoria and the creators of the Emmy and Golden Globe-winning series The Americans. In addition to her clinical practice, she writes the Atlantic’s weekly “Dear Therapist” advice column and contributes regularly to the New York Times and many other publications.",https://tim.blog/2020/03/19/lori-gottlieb/
49,"Jack Kornfield — How to Find Peace Amidst COVID-19, How to Cultivate Calm in Chaos (#414)","Jack Kornfield (@JackKornfield) trained as a Buddhist monk in the monasteries of Thailand, India, and Burma, shortly thereafter becoming one of the key teachers to introduce Buddhist mindfulness practice to the West. He has taught meditation internationally since 1974.",https://tim.blog/2020/03/12/jack-kornfield-covid19/
50,"Tyler Cowen on Rationality, COVID-19, Talismans, and Life on the Margins (#413)","Professor Tyler Cowen (@tylercowen) has a personal moonshot: to teach economics to more people than anyone else in the history of the world—and he might just succeed. In addition to his regular teaching at George Mason University, Tyler has blogged every day at Marginal Revolution for almost 17 years, helping to make it one of the most widely read economics blogs in the world.",https://tim.blog/2020/03/05/tyler-cowen/
51,"Josh Waitzkin on Beginner’s Mind, Self-Actualization, and Advice from Your Future Self (#412)","Thanks for letting us know. I just sent you an email, but it got blocked, so I’m hoping you’ll see this. That blocking, I suspect, may be the reason you’re not getting “5-Bullet Friday.” It appears that emails from us are not making it to your account. Could you try adding “tim@fourhourbody.com” to your trusted contacts list to see if that rectifies the situation? Also, if the address you signed up with is a business address with stricter-than-typical spam-blocking software, you may want to try signing up with a different email account. And then confirm your email address. Feel free to reply here if we can be of further help.",https://tim.blog/2020/02/27/josh-waitzkin-beginners-mind-self-actualization-advice-from-your-future-self/
52,Richard Turner — The Magical Phenom Who Will Blow Your Mind (#411),"""One of the biggest challenges we face is staying kind with profound disagreement—and staying kind when a mechanism has been set up to make money and power out of hate."" — Penn Jillette Penn Jillette (@pennjillette) is a cultural phenomenon as a solo personality and as half of the world-famous,…",https://tim.blog/2020/02/20/richard-turner/
53,Ryan Holiday — Turning the Tables (#410),"Ryan Holiday (TW/IG: @RyanHoliday) is one of the world’s foremost thinkers and writers on ancient philosophy and its place in modern life. He is a sought-after speaker and strategist and the author of many bestselling books, including The Obstacle Is the Way, Ego Is the Enemy, and The Daily Stoic. His books have been translated into more than 30 languages and have sold more than two million copies worldwide. He lives with his family outside of Austin, Texas. You can subscribe to receive his writing at RyanHoliday.net and DailyStoic.com. Ryan was also the fourth-ever guest on the podcast in the very beginning, and he has written multiple popular guest posts for my blog, which you can find at tim.blog.",https://tim.blog/2020/02/13/ryan-holiday-interviews-tim-ferriss/
54,"Brené Brown — Striving versus Self-Acceptance, Saving Marriages, and More (#409)",Dr. Brené Brown (@BreneBrown) is a research professor at the University of Houston where she holds the Huffington Foundation – Brené Brown Endowed Chair at The Graduate College of Social Work. Brené is also a visiting professor in management at The University of Texas at Austin McCombs School of Business.,https://tim.blog/2020/02/06/brene-brown-striving-self-acceptance-saving-marriages/
55,"The Random Show — New Year’s Resolutions, 2010-2019 Lessons Learned, Finding Joy, Energy Management, and Much More (#408)","Technologist, serial entrepreneur, world-class investor, self-experimenter, and all-around wild and crazy guy Kevin Rose (@KevinRose),  rejoins me for another episode of “The Random Show.” In this one we explore the language of relationships, polarity, energy management, difficult conversations, finding peace and patience, the importance of self-compassion, the search for palatable decaf coffee, panic-selling, serving the moment, and much more!",https://tim.blog/2020/01/30/random-show-new-years-resolutions-2010-2019-lessons/
